0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 
0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 
0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 
0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 
0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 0.999955+0.008922i , 

0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 
0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 
0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 
0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 
0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 0.998962+0.045436i , 

0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 
0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 
0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 
0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 
0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 0.996637+0.081890i , 

0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 
0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 
0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 
0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 
0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 0.992981+0.118235i , 

0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 
0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 
0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 
0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 
0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 0.988000+0.154421i , 

